study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB39942	SAMEA7198804	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198805	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198851	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198852	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198854	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198856	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198823	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198860	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198861	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198824	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198828	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198874	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198879	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198834	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198835	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198883	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198890	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198846	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198797	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198798	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198799	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198800	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198801	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198855	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198857	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198822	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198865	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198866	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198869	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198872	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198875	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198877	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198878	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198880	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198836	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198881	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198884	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198891	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198887	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198888	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198843	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198802	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198803	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198808	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198806	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198807	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198848	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198849	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198850	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198853	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198821	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198862	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198863	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198864	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198829	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198870	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198871	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198873	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198876	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198833	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198837	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198838	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198882	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198885	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198886	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198889	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198845	host		wastewater	curator_escalation	curator escalation
PRJEB39942	SAMEA7198844	host		wastewater	curator_escalation	curator escalation
PRJEB51676	SAMEA13443844	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443854	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443856	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443862	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443879	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443882	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443890	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443891	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443845	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443847	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443852	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443855	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443859	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443861	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443865	host		human	curator_escalation	curator escalation
PRJEB51676	SAMEA13443866	host		human	curator_escalation	curator escalation
